Original_Filename,Matching_Filename_OR_SC,Alternate_Method,Method_Argument,Similarity_to_Fort
efe\armor4.bmp, Special Case, use_ps3_same_name, ,0
efe\armor5.bmp, Special Case, use_ps3_same_name, ,0
efe\armor6.bmp, Special Case, use_ps3_same_name, ,0
efe\armor7.bmp, Special Case, use_ps3_same_name, ,0
efe\armor7b.bmp, Special Case, use_ps3_same_name, ,0
efe\barrier.png, Special Case, stretch_original, ,0
efe\barrier1.png, Special Case, stretch_original, ,0
efe\barrier1p.png, Special Case, stretch_original, ,0
efe\barrierbrake1.png, Special Case, no_modification, ,0
efe\barrierbrake1p.png, Special Case, stretch_original, ,0
efe\barrierbrake1p1.png, Special Case, stretch_original, ,0
efe\barrierbrake1p2.png, Special Case, stretch_original, ,0
efe\barrierbrake1p3.png, Special Case, stretch_original, ,0
efe\barrierbrake1p4.png, Special Case, stretch_original, ,0
efe\barrierbrake1p6.png, Special Case, stretch_original, ,0
efe\barrierbrake2.png, Special Case, no_modification, ,0
efe\barrierbrake2p1.png, Special Case, stretch_original, ,0
efe\barrierbrake2p2.png, Special Case, stretch_original, ,0
efe\barrierbrake2p3.png, Special Case, stretch_original, ,0
efe\barrierbrake2p4.png, Special Case, stretch_original, ,0
efe\barrierbrake2p5.png, Special Case, stretch_original, ,0
efe\bite.bmp, Special Case, use_ps3_same_name, ,0
efe\black.bmp, no25_00000.png, , ,100
efe\blade1p.png, Special Case, stretch_original, ,0
efe\blade1r.png, Special Case, stretch_original, ,0
efe\blade2p.png, Special Case, stretch_original, ,0
efe\blade2r.png, Special Case, stretch_original, ,0
efe\blade3p.png, Special Case, stretch_original, ,0
efe\blade3r.png, Special Case, stretch_original, ,0
efe\blade4p.png, Special Case, stretch_original, ,0
efe\blade4r.png, Special Case, stretch_original, ,0
efe\blade5p.png, Special Case, stretch_original, ,0
efe\blade5r.png, Special Case, stretch_original, ,0
efe\blade6_1p.png, Special Case, stretch_original, ,0
efe\blade6_1r.png, Special Case, stretch_original, ,0
efe\blade6_2p.png, Special Case, stretch_original, ,0
efe\blade6_2r.png, Special Case, stretch_original, ,0
efe\blade7_1r.png, Special Case, stretch_original, ,0
efe\blade7_2r.png, Special Case, stretch_original, ,0
efe\blood_1a.png, blood_1a.png, , ,100
efe\blood_1ar.png, blood_1ar.png, , ,100
efe\blood_1b.png, Special Case, stretch_original, ,0
efe\blood_2a.png, blood_2a.png, , ,99.70703125
efe\blood_2b.png, blood_2b.png, , ,99.8046875
efe\blood_2c.png, blood_2c.png, , ,99.8046875
efe\blood_2d.png, blood_2d.png, , ,99.8046875
efe\blood_2e.png, blood_2e.png, , ,99.8046875
efe\book1.bmp, book1.png, , ,99.609375
efe\bullet_1a.bmp, bullet_1a.png, , ,96.875
efe\bullet_1b.bmp, bullet_1b.png, , ,96.09375
efe\bullet_1c.bmp, bullet_1c.png, , ,96.6796875
efe\bullet_1d.bmp, bullet_1d.png, , ,95.703125
efe\bullet_1e.bmp, Special Case, use_ps3_same_name, ,0
efe\bullet1a.bmp, Special Case, use_ps3_same_name, ,0
efe\bullet1b.bmp, Special Case, use_ps3_same_name, ,0
efe\bullet1c.bmp, Special Case, use_ps3_same_name, ,0
efe\bullet2a.bmp, Special Case, use_ps3_same_name, ,0
efe\bullet2b.bmp, Special Case, use_ps3_same_name, ,0
efe\butterfly_1a.png, Special Case, stretch_original, ,0
efe\butterfly_2a.png, Special Case, stretch_original, ,0
efe\butterfly_3a.png, Special Case, stretch_original, ,0
efe\butterfly_3x.png, Special Case, stretch_original, ,0
efe\butterfly_4a.png, Special Case, stretch_original, ,0
efe\butterfly_4sp1.png, Special Case, stretch_original, ,0
efe\butterfly_4sp1r.png, Special Case, stretch_original, ,0
efe\butterfly_4sp2.png, Special Case, stretch_original, ,0
efe\butterfly_4sp2r.png, Special Case, stretch_original, ,0
efe\chess1.bmp, chess1.png, , ,99.8046875
efe\cut_1a.bmp, Special Case, stretch_original, ,0
efe\cut_1b.bmp, Special Case, stretch_original, ,0
efe\cut_1c.bmp, Special Case, stretch_original, ,0
efe\cut_2a.bmp, Special Case, stretch_original, ,0
efe\cut_2b.bmp, Special Case, stretch_original, ,0
efe\cut_3a.bmp, Special Case, stretch_original, ,0
efe\cut_3b.bmp, Special Case, stretch_original, ,0
efe\cut_3c.bmp, Special Case, stretch_original, ,0
efe\different_space_1a.bmp, different_space_1a.png, , ,99.609375
efe\different_space_1b.bmp, different_space_1a.png, , ,99.609375
efe\different_space_1c.bmp, different_space_1c.png, , ,99.8046875
efe\different_space_p1a.bmp, different_space_p1a.png, , ,99.609375
efe\different_space_p1b.bmp, different_space_p1b.png, , ,100
efe\different_spiral_1a.bmp, different_spiral_1a.png, , ,99.609375
efe\end_1a.jpg, Special Case, english_asset, ,0
efe\end_1b.png, Special Case, use_ps3_same_name, ,0
efe\end_1c.jpg, Special Case, tall_image, end_1c.png,0
efe\end_1d.png, Special Case, stretch_height_center_screen, ,0
efe\end_2a.jpg, Special Case, english_asset, ,0
efe\end_2c.jpg, Special Case, tall_image, end_2c.png,0
efe\end_3a.jpg, Special Case, english_asset, ,0
efe\end_3b.jpg, Special Case, tall_image, end_3b.png,0
efe\end_4a.jpg, Special Case, english_asset, ,0
efe\end_4b.jpg, Special Case, tall_image, end_4b.png,0
efe\enj_mirai01.png, Special Case, english_asset, ,0
efe\ep2_text.png, Special Case, english_asset, ,0
efe\ep4last00.bmp, no25_00000.png, , ,100
efe\ep4last01.png, ep2_text.png, , ,98.2421875
efe\ep4last02.png, Special Case, english_asset, ,0
efe\ep4last03.png, Special Case, english_asset, ,0
efe\ep4last04.png, Special Case, english_asset, ,0
efe\ep4last05.png, Special Case, english_asset, ,0
efe\ep4last06.png, Special Case, english_asset, ,0
efe\ep4last07.png, t\years_1998.png, , ,99.12109375
efe\ep4last08.png, Special Case, english_asset, ,0
efe\ep4last09.png, Special Case, english_asset, ,0
efe\goa_memory1_en.png, Special Case, english_asset, ,0
efe\goa_memory1.png, Special Case, english_asset, ,0
efe\goa_memory2_en.png, Special Case, english_asset, ,0
efe\goa_memory2.png, Special Case, english_asset, ,0
efe\goa_memory3_en.png, Special Case, english_asset, ,0
efe\goa_memory3.png, Special Case, english_asset, ,0
efe\goa_memory4_en.png, Special Case, english_asset, ,0
efe\goa_memory4.png, Special Case, english_asset, ,0
efe\gold1.bmp, gold1.png, , ,100
efe\gold2.bmp, gold2.png, , ,99.609375
efe\gold3.bmp, t\gold3.png, , ,99.8046875
efe\hana1.png, hana1.png, , ,99.609375
efe\hana2.png, hana1.png, , ,99.609375
efe\homing1.png, Special Case, stretch_original, ,0
efe\homing1r.png, Special Case, stretch_original, ,0
efe\homing1s.png, Special Case, stretch_original, ,0
efe\homing1sr.png, Special Case, stretch_original, ,0
efe\homing2.png, Special Case, stretch_original, ,0
efe\homing2r.png, Special Case, stretch_original, ,0
efe\homing2s.png, Special Case, stretch_original, ,0
efe\homing2sr.png, Special Case, stretch_original, ,0
efe\homing3.png, Special Case, stretch_original, ,0
efe\homing3r.png, Special Case, stretch_original, ,0
efe\homing3s.png, Special Case, stretch_original, ,0
efe\homing3sr.png, Special Case, stretch_original, ,0
